trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
6,6,1,35,29,32,32,41,37,35,35,36,35,35
30,12,1,47,44,42,46,43,45,46,45,44,46,46
54,18,1,46,46,45,49,45,42,43,41,45,41,55
78,24,1,60,60,55,61,59,60,61,60,61,61,63
102,30,1,64,60,55,65,44,64,54,63,48,64,59
126,36,1,41,32,36,45,36,39,36,40,33,38,34
150,42,1,26,15,21,24,22,22,21,21,19,21,15
174,48,1,22,21,20,23,25,25,20,25,21,26,18
198,54,1,32,26,30,32,31,30,30,30,30,30,27
222,60,1,19,12,11,22,10,20,14,19,12,19,9
246,66,1,15,2,9,12,10,9,11,9,5,7,1
270,72,1,34,34,32,31,31,32,33,31,32,33,36
294,78,1,29,37,33,28,36,39,27,30,28,35,37
318,84,1,30,23,24,26,23,27,27,22,25,26,24
342,90,1,40,39,32,41,31,44,34,43,30,43,37
366,96,1,21,17,14,23,13,27,18,19,18,23,16
390,102,1,26,18,20,21,20,25,20,18,20,22,14
414,108,1,37,38,33,37,33,38,37,37,35,38,38
438,114,1,29,25,24,31,24,32,25,28,26,30,24
462,120,1,26,14,21,23,22,19,21,20,20,18,17
486,126,1,22,14,19,19,19,19,16,15,14,17,15
510,132,1,31,26,26,28,28,26,22,27,24,25,31
534,138,1,23,18,18,28,17,27,20,24,19,26,16
558,144,1,29,29,17,32,17,32,25,23,23,29,25
582,150,1,20,13,12,22,11,22,17,21,17,22,11
606,156,1,25,19,18,25,19,18,17,20,17,18,18
630,162,1,36,26,33,31,33,26,23,27,23,26,22
654,168,1,30,21,27,28,26,25,18,25,21,25,22
678,174,1,25,27,18,32,22,32,21,57,21,38,28
702,180,1,33,23,25,40,24,32,28,55,28,36,32
726,186,1,20,9,15,20,15,18,14,19,15,18,9
750,6,2,23,10,17,21,17,21,17,10,15,17,5
774,12,2,22,15,15,19,15,23,18,8,16,17,8
798,18,2,42,34,31,42,32,36,32,30,30,33,31
822,24,2,35,31,33,33,35,34,29,24,28,32,34
846,30,2,29,24,28,26,29,29,23,27,21,27,18
870,36,2,44,34,37,44,38,35,32,36,32,33,35
894,42,2,40,37,38,49,38,43,36,46,34,42,34
918,48,2,31,27,28,30,29,31,29,30,29,31,26
942,54,2,29,21,26,28,28,27,27,28,28,28,21
966,60,2,42,34,40,41,40,36,39,39,37,37,36
990,66,2,38,36,34,41,36,41,34,40,31,39,33
1014,72,2,36,32,30,39,31,36,35,39,32,36,31
1038,78,2,31,34,32,32,33,35,27,29,28,33,36
1062,84,2,37,36,31,39,29,40,39,43,37,41,36
1086,90,2,41,26,31,41,31,36,32,38,30,34,25
1110,96,2,28,17,21,28,21,24,21,28,20,24,16
1134,102,2,30,24,20,30,19,26,23,28,22,25,23
1158,108,2,35,18,31,33,31,24,28,32,27,26,19
1182,114,2,36,35,34,35,34,37,34,39,33,38,36
1206,120,2,40,29,32,37,36,33,32,30,34,31,29
1230,126,2,55,49,52,55,52,55,55,58,53,57,50
1254,132,2,38,27,39,35,39,32,30,31,28,30,32
1278,138,2,31,23,27,27,31,31,27,26,24,29,21
1302,144,2,39,36,35,41,35,40,37,42,34,39,34
1326,150,2,32,26,29,35,28,31,30,35,31,31,29
1350,156,2,32,28,27,33,29,33,27,33,28,32,26
1374,162,2,37,32,33,38,35,36,34,38,34,37,31
1398,168,2,33,21,28,30,29,29,29,34,32,28,19
1422,174,2,31,21,26,27,31,29,27,25,25,26,20
1446,6,3,44,34,31,35,35,40,37,32,33,38,29
1470,12,3,59,54,58,59,59,56,59,61,55,58,55
1494,18,3,50,39,45,54,48,51,44,47,45,46,37
1518,24,3,54,53,50,52,50,54,54,53,54,55,53
1542,30,3,48,49,46,58,46,57,49,54,49,55,45
1566,36,3,68,65,65,69,67,70,71,71,70,71,61
1590,42,3,46,39,45,44,42,42,39,39,37,40,38
1614,48,3,43,37,42,38,41,41,41,39,41,42,35
1638,54,3,38,31,34,30,35,32,28,32,29,32,32
