trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
7,7,1,33,28,30,30,38,36,33,34,32,33,32
31,14,1,47,43,42,48,45,44,47,46,44,47,46
55,21,1,46,50,41,49,46,44,42,41,45,43,56
79,28,1,60,59,55,61,58,60,61,60,61,60,63
103,35,1,64,60,54,65,44,65,53,63,47,64,58
127,42,1,39,29,35,44,35,35,37,37,36,35,34
151,49,1,26,15,20,23,20,21,20,21,19,20,15
175,56,1,24,18,19,23,26,25,20,25,20,25,18
199,63,1,31,26,29,32,29,29,30,30,30,30,27
223,70,1,17,12,9,21,8,19,14,19,12,18,9
247,77,1,13,2,9,12,9,8,10,9,6,6,1
271,84,1,34,33,32,32,31,31,33,32,32,32,36
295,91,1,31,37,31,28,31,39,33,27,33,34,36
319,98,1,29,24,23,26,21,26,25,21,23,24,24
343,105,1,39,38,31,43,26,45,34,41,32,41,35
367,112,1,21,18,14,22,13,26,18,19,16,23,15
391,119,1,26,19,20,21,20,24,20,16,18,20,13
415,126,1,37,38,34,37,34,38,37,37,35,38,38
439,133,1,27,24,24,29,24,31,25,27,26,29,24
463,140,1,25,14,21,22,22,19,21,19,20,17,17
487,147,1,22,14,18,18,19,18,15,14,14,16,13
511,154,1,31,27,26,29,27,28,23,28,26,26,29
535,161,1,22,16,17,26,16,26,19,25,17,25,15
559,168,1,29,28,18,29,18,32,25,22,23,28,25
583,175,1,19,12,11,22,11,22,17,19,17,21,11
607,182,1,27,19,19,25,19,18,17,20,17,18,19
631,189,1,38,27,33,30,32,27,23,27,23,26,23
655,196,1,29,21,27,27,26,25,21,24,21,24,22
679,203,1,25,28,17,33,19,33,22,56,22,39,28
703,210,1,33,26,24,40,23,35,28,54,27,37,31
727,217,1,20,8,15,20,15,17,13,18,15,17,8
751,7,2,23,9,17,20,17,20,17,8,16,17,4
775,14,2,21,13,15,18,15,22,17,6,15,16,7
799,21,2,45,34,33,44,36,36,32,31,31,33,32
823,28,2,34,30,34,29,35,34,27,25,28,32,33
847,35,2,30,23,28,26,29,29,22,24,24,26,16
871,42,2,47,33,38,45,39,35,32,39,32,34,35
895,49,2,40,37,37,48,37,43,36,46,33,42,32
919,56,2,31,26,28,30,28,31,29,31,29,30,25
943,63,2,30,20,27,28,28,27,28,28,26,28,20
967,70,2,42,34,39,40,39,37,37,37,36,36,36
991,77,2,39,32,34,40,35,37,32,39,29,36,33
1015,84,2,36,33,30,39,30,37,35,39,32,37,31
1039,91,2,33,34,31,31,32,36,27,29,28,32,34
1063,98,2,38,37,31,40,28,42,39,43,37,41,37
1087,105,2,38,30,32,42,31,37,31,38,31,36,24
1111,112,2,27,16,20,27,20,22,20,26,19,22,16
1135,119,2,32,24,23,31,25,26,25,30,23,26,22
1159,126,2,33,18,30,32,30,24,27,30,27,24,18
1183,133,2,37,35,33,36,34,37,37,39,35,38,32
1207,140,2,41,29,34,34,35,34,32,32,33,33,28
1231,147,2,55,47,53,55,53,55,56,58,52,56,48
1255,154,2,38,27,39,34,39,31,28,32,27,30,33
1279,161,2,32,23,27,26,30,29,27,26,24,26,21
1303,168,2,38,35,34,41,35,40,36,42,32,40,34
1327,175,2,30,26,27,34,27,31,28,33,31,30,27
1351,182,2,30,28,26,33,28,33,27,33,29,32,26
1375,189,2,37,31,33,38,33,37,34,37,34,37,30
1399,196,2,32,20,27,29,28,28,28,30,33,25,19
1423,203,2,31,21,26,26,31,29,27,25,24,26,19
1447,7,3,41,28,28,35,33,37,35,30,33,34,28
1471,14,3,59,55,58,60,58,58,59,62,56,59,55
1495,21,3,47,38,44,50,47,49,42,50,42,47,35
1519,28,3,55,55,50,52,48,55,54,53,54,55,54
1543,35,3,48,48,46,57,46,56,49,52,49,54,47
1567,42,3,68,63,63,70,63,69,71,71,65,71,60
1591,49,3,46,37,43,42,40,41,37,39,35,38,36
1615,56,3,43,37,42,39,42,41,41,39,39,41,37
