load (MW),Change1
1422,1280.94
1243.333334,1420.37
1231.25,1363.13
823.4166665,855.99
868.25,989.42
1492.416667,1450.11
2427.5,2634.34
2184.916667,1857.53
1918.833334,2193.12
2118.166667,1886.98
2880.333334,3277.51
1971.5,1683.52
1535.5,1429.94
1755.416667,1960.89
1444.5,1651.14
2136.416667,2428.31
1945.583334,1667.65
1398.416667,1500.16
1843.666667,1621.69
2434.25,2377.40
2242.666667,2315.49
2152.5,2396.30
2242.5,1998.44
1786.666667,1962.19
2039.083334,2278.68
2595.333334,2349.76
2118.833334,2302.40
2263.5,2451.54
2034.25,1992.96
1754.083334,1857.78
2730.916667,2559.42
2321.666667,2519.52
2226.583334,2244.92
1857.25,2028.56
1679.666667,1802.23
1954.5,1676.56
1899.5,2123.40
1627.583334,1742.48
1983.666667,1938.05
2012.416667,2054.23
1671.833334,1858.27
1579.666667,1483.09
1619.916667,1602.06
1851.75,2103.64
1464.916667,1624.20
1648.083334,1791.70
2053.25,2097.71
2113.666667,2155.25
2282.75,2430.78
1687.833334,1723.87
1548.75,1480.96
1033.916667,882.50
1558.5,1595.56
1800.166667,1631.70
1487.083334,1645.03
1674.75,1635.20
1774.25,1809.02
1665.833334,1478.88
1870.333334,1935.03
1648.666667,1469.55
1355.333334,1312.15
968.3333335,912.99
1118.083334,1200.85
879.75,970.25
804.6666665,749.30
774.25,724.61
954.0833335,1093.62
1280.75,1427.08
1615.416667,1432.23
