load (MW),Change1
1472.166667,1565.03
1647.5,1671.19
1433.333334,1392.42
1273.333334,1418.00
1194.333334,1236.57
1589.166667,1631.00
2274.833334,2049.19
1941.416667,1871.66
2214.5,2487.82
2442.333334,2488.16
2510.083334,2536.92
1625.75,1594.49
1456.5,1580.40
1670.166667,1525.49
1695.5,1881.77
1972.25,1813.34
2000.916667,2014.12
1830.166667,2085.49
2064.416667,2190.41
2167.416667,2157.25
2346.083334,2337.10
1680.833334,1501.51
2161.25,1933.43
1783.916667,1607.18
2699.75,2842.90
2883.25,2987.52
2318.916667,2112.79
2317.416667,2316.54
1846.416667,1949.51
1697.166667,1807.83
2647.083334,2580.32
2188.5,2102.10
2109.583334,2072.38
2051.416667,2161.65
1569.25,1347.89
1975.666667,1695.40
2252.583334,2179.70
1884.75,1886.11
1978.416667,1949.74
1949.833334,1913.55
1613.416667,1791.91
1665,1634.70
1920.916667,1724.87
1509.666667,1393.55
1790.166667,1883.72
1904.666667,1995.72
1986.333334,2173.68
2201.083334,2409.07
1691.25,1790.25
1420.5,1469.23
1308.916667,1269.99
1430.75,1614.74
1726.916667,1633.16
1594.833334,1473.14
1542.666667,1332.33
1491.416667,1633.98
1974.833334,2167.76
1598.333334,1688.77
1625.25,1657.82
1552.916667,1352.90
1297.333334,1381.80
1129.083334,1077.29
1149.5,1236.97
1076.666667,1070.21
1117.083334,1199.28
1322.166667,1127.70
1293.583334,1145.24
1498.833334,1376.06
