load (MW),Change1
1177.5,1304.83
1319.916667,1157.13
1152.166667,1174.91
1180.166667,1279.05
1291.75,1426.62
1792.416667,1667.48
1973,2048.20
2036.333334,2301.40
2124.75,2348.77
1992.416667,1751.98
1835.083334,1773.83
1291.25,1267.97
1248.25,1367.86
1443,1380.76
1573.583334,1691.19
1641.333334,1503.70
1730.416667,1882.04
1583.916667,1497.93
1805.75,1877.89
1854.25,1937.29
1829.083334,1640.10
1567.083334,1659.12
1761.083334,1963.63
1503.25,1359.73
2794.583334,3213.30
2572.416667,2906.86
2188.833334,2398.56
1905.583334,2156.49
1518.25,1536.55
1894.75,1900.37
1769.333334,1740.64
1496.583334,1530.40
1693.083334,1613.42
1395.5,1246.06
1292.333334,1233.72
1989.833334,1814.54
2123.75,2297.68
1804.083334,1944.87
1419.5,1363.36
1690.833334,1814.89
1386.666667,1320.00
1477.916667,1272.16
1571,1568.46
1190.166667,1135.17
1564.333334,1687.81
1739.666667,1926.91
1632.083334,1869.52
1605.916667,1411.61
1397.416667,1454.29
1108.583334,1088.81
1093.083334,974.40
1298.416667,1361.84
1235.083334,1354.23
1382.583334,1407.65
1361.666667,1456.92
1296.25,1325.77
1939.833334,2058.24
1220.25,1389.17
1170.916667,1168.15
1121.166667,1027.97
1072.25,1088.75
1125.916667,1267.34
1040.25,928.33
1065.166667,1188.05
1051.083334,1010.97
1129.583334,1170.61
1037.916667,1158.38
1512,1738.31
