load (MW),Change1
1519.583334,1510.81
1554.166667,1703.03
1366.166667,1348.30
1434.833334,1302.28
1590.75,1526.10
2397.333334,2533.89
2486.5,2485.11
2290.5,2367.79
2342.75,2114.85
2506.083334,2591.85
2253.75,2096.52
1776.083334,1986.28
1780.25,1857.91
1919.25,1814.57
2134.416667,2043.67
2086.833334,1982.87
1852.083334,1749.09
1835.166667,2086.75
2507.166667,2484.83
2427.5,2416.59
2372,2132.55
2036.166667,2280.50
2125.833334,1813.29
1909.083334,1897.44
2942.166667,2678.69
2565.5,2685.29
2351.666667,2580.65
2352,2537.85
2012.916667,2139.94
2343.416667,2559.09
2292.083334,2054.67
1976.166667,1888.21
2115.083334,2186.22
1915.416667,1933.00
1916.75,2035.33
2246.5,1941.19
2105.5,1840.08
2125.166667,1954.79
2056.666667,2347.47
2024.333334,1966.94
1844.25,1894.65
1909.666667,2072.14
2065.166667,1856.55
1659.583334,1644.88
1722.833334,1530.79
2062.75,2084.20
2303.583334,2579.84
2201.833334,1931.39
1937.666667,1935.36
1537.25,1417.07
1366.166667,1208.62
1662.916667,1679.84
1719.583334,1562.79
1794.583334,1587.78
1728.666667,1825.69
1838.416667,1882.85
2128.75,2183.40
1664.333334,1477.58
1470.416667,1314.22
1504.25,1582.28
1457,1555.70
1464.333334,1351.51
1359.583334,1486.10
1381.666667,1544.54
1272.333334,1343.42
1268.666667,1272.64
1077.833334,961.53
1919.666667,1784.37
