load (MW),Change1
1477.25,1575.74
1339.333334,1494.65
1290.916667,1434.25
854,741.17
1008.416667,966.62
1686.166667,1456.54
2625.25,2681.47
2379.333334,2713.88
2134.166667,1975.79
2219.25,2372.95
3009.5,2568.09
2135.333334,2195.19
1728.666667,1715.29
1970.166667,1990.76
1644.25,1500.71
2296.166667,2242.95
1986.833334,1954.54
1414.583334,1288.21
2007.083334,2012.59
2654.833334,2669.19
2429.583334,2177.24
2309.5,2608.58
2414.666667,2687.58
1833.833334,1698.63
2141.166667,2245.98
2664.083334,3059.11
2176.666667,1888.15
2446.5,2572.97
2156.666667,2099.31
1903.75,1727.40
2869.666667,3088.97
2411.333334,2742.28
2466.416667,2288.76
1990.083334,2043.07
1893.583334,1648.70
2136.166667,1932.02
2001.416667,2236.46
1665.333334,1512.16
2059.833334,1788.07
2219.833334,2409.85
1843.583334,2106.47
1743.666667,1579.37
1777.833334,1724.00
2004.083334,1764.67
1517.666667,1353.31
1697.916667,1448.46
2189.833334,2454.65
2257.083334,2339.40
2475.333334,2573.43
1875.583334,2003.72
1761.833334,1872.39
1078.75,1059.43
1644.916667,1639.55
2010.166667,1869.10
1645.083334,1451.86
1897.666667,1885.91
1947.583334,1846.22
1814.5,1774.51
1989.083334,1862.71
1757.416667,1948.66
1589.75,1616.25
1125,1266.87
1293.833334,1365.86
1035.5,1179.22
931.1666665,949.50
817.1666665,843.03
1054.833334,939.21
1475.666667,1612.96
1818,1760.58
