load (MW),Change1
1400.75,1328.06
1477.25,1565.33
1318.75,1407.97
1353.083334,1291.58
1442.25,1312.28
2109.5,2030.93
2277.416667,2225.03
2212.916667,2213.49
2305.666667,1970.54
2292.916667,2518.23
2110.583334,1928.97
1540.75,1752.92
1509.75,1733.87
1727.833334,1573.08
1857.333334,1872.76
1901,2052.25
1829.833334,1779.16
1702.916667,1636.65
2135.666667,2446.19
2116,2138.41
2110.583334,2310.26
1795,1993.99
1968.416667,1878.99
1692.083334,1523.84
2914.75,2847.33
2672.166667,3039.75
2324.666667,1985.80
2144.75,1910.78
1758.75,1826.64
2088.666667,1889.50
1979.333334,2232.13
1677.5,1440.65
1901.25,1623.23
1578.416667,1472.22
1523.416667,1660.56
2164.083334,1981.87
2150.416667,2359.08
1951,2135.09
1596.583334,1495.64
1827.333334,1836.84
1560.25,1449.66
1654.75,1670.35
1690.25,1844.85
1347.5,1176.77
1648.416667,1788.94
1915.166667,1987.37
1840.416667,1942.88
1840.916667,2005.70
1558.75,1531.77
1220.666667,1216.80
1206.333334,1096.17
1402.083334,1459.84
1344,1412.59
1541.666667,1434.16
1517.666667,1604.76
1458.666667,1669.03
2016.083334,1760.15
1344.333334,1479.02
1221.166667,1269.50
1225.5,1085.46
1183.416667,1135.24
1219.083334,1127.82
1129.416667,1152.30
1140.666667,1054.93
1109.333334,1134.90
1153.25,1006.41
1120.916667,1222.57
1654.083334,1615.50
