trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
16,16,1,55,56,52,60,51,60,60,62,56,62,54
40,32,1,56,55,49,62,49,61,55,57,55,58,57
64,48,1,68,69,68,73,67,72,73,73,72,73,70
88,64,1,72,65,64,74,65,69,73,73,69,70,66
112,80,1,66,52,49,71,47,66,54,66,49,65,52
136,96,1,46,33,41,48,41,44,44,47,40,44,33
160,112,1,31,26,28,35,28,33,33,34,32,34,28
184,128,1,35,31,33,38,33,35,37,38,35,36,32
208,144,1,33,29,30,34,29,32,32,32,32,32,28
232,160,1,20,21,17,25,17,24,23,25,21,24,18
256,176,1,28,30,27,30,27,31,31,31,30,31,31
280,192,1,53,50,50,57,49,57,57,57,55,57,50
304,208,1,55,48,51,59,48,58,58,58,55,58,47
328,224,1,35,41,29,43,27,45,39,44,38,44,38
352,240,1,31,35,27,40,26,44,39,39,39,44,35
376,256,1,32,31,27,37,28,37,34,38,33,37,28
400,272,1,35,37,35,44,35,44,38,43,39,44,34
424,288,1,45,41,39,50,38,48,41,51,40,48,42
448,304,1,35,29,29,39,29,38,36,39,34,38,28
472,320,1,33,27,30,35,29,34,34,34,32,35,28
496,336,1,31,28,30,35,30,35,31,34,31,34,27
520,352,1,50,42,45,55,43,52,51,54,48,52,41
544,368,1,30,27,22,37,21,35,34,36,32,35,27
568,384,1,30,39,23,45,22,52,29,38,29,48,36
592,400,1,22,17,19,22,20,19,21,19,21,19,16
616,416,1,36,27,31,30,29,24,22,26,21,23,24
640,432,1,41,30,37,33,35,31,27,30,27,30,28
664,448,1,33,29,29,35,29,35,33,34,33,35,30
688,464,1,47,39,36,49,36,46,47,64,45,50,40
712,480,1,29,27,27,38,28,41,35,40,31,39,26
736,496,1,29,26,24,36,24,34,33,31,32,33,25
760,16,2,32,32,32,37,32,37,36,27,33,35,29
784,32,2,42,40,40,46,38,43,40,33,37,40,37
808,48,2,51,42,47,47,47,46,43,52,42,47,41
832,64,2,43,41,42,50,42,49,46,51,45,50,38
856,80,2,42,36,36,45,35,41,38,44,35,40,35
880,96,2,53,37,41,62,41,39,34,41,33,37,37
904,112,2,48,35,45,52,44,45,50,53,46,47,36
928,128,2,37,36,34,42,35,42,42,44,39,43,34
952,144,2,49,43,46,49,46,46,51,51,48,47,43
976,160,2,52,47,49,54,51,54,55,54,54,54,47
1000,176,2,43,42,43,51,42,49,49,53,46,49,42
1024,192,2,39,39,38,38,40,38,42,41,43,39,43
1048,208,2,50,46,47,55,46,53,55,56,52,54,46
1072,224,2,53,46,50,54,49,51,53,54,50,52,45
1096,240,2,37,38,36,42,35,42,42,44,38,43,39
1120,256,2,35,33,33,36,33,34,37,37,34,35,33
1144,272,2,35,37,36,35,37,33,35,35,36,34,36
1168,288,2,44,46,41,47,44,49,48,50,47,51,45
1192,304,2,57,58,55,63,55,61,61,65,62,62,60
1216,320,2,59,65,52,70,50,68,71,71,66,70,64
1240,336,2,59,45,55,61,55,57,56,62,52,57,44
1264,352,2,47,44,47,54,48,53,49,54,46,53,43
1288,368,2,45,48,46,50,47,50,50,51,49,50,49
1312,384,2,46,43,46,56,46,53,46,55,42,52,41
1336,400,2,42,45,43,46,44,48,46,49,45,49,44
1360,416,2,38,36,39,38,40,37,39,40,38,38,37
1384,432,2,45,51,45,47,45,52,51,52,49,53,48
1408,448,2,46,58,53,56,56,59,59,59,57,59,57
1432,464,2,67,64,62,69,63,68,70,71,68,69,64
1456,16,3,67,66,59,71,60,69,70,73,68,70,67
1480,32,3,66,62,65,67,67,63,68,71,67,64,68
1504,48,3,65,65,63,71,63,70,69,73,68,71,64
1528,64,3,72,71,61,83,57,80,70,83,63,80,68
1552,80,3,80,75,73,80,74,77,79,81,75,78,77
1576,96,3,64,64,63,64,65,68,72,70,70,71,64
1600,112,3,56,60,56,63,56,64,63,67,61,65,61
1624,128,3,49,39,47,52,46,47,48,52,45,48,42
