trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
15,15,1,55,55,52,60,52,60,59,61,56,61,53
39,30,1,54,53,47,60,48,59,54,54,54,58,55
63,45,1,69,69,66,73,67,72,73,73,71,73,70
87,60,1,71,65,65,74,65,69,72,73,69,70,68
111,75,1,66,54,48,71,47,66,54,66,48,65,52
135,90,1,46,33,40,48,41,43,44,46,41,44,35
159,105,1,31,26,27,34,27,32,32,33,31,33,28
183,120,1,36,30,33,38,33,35,37,37,35,36,32
207,135,1,33,29,31,34,31,32,30,34,30,32,28
231,150,1,22,20,17,25,16,24,21,24,20,24,17
255,165,1,28,28,26,29,27,30,29,29,29,29,31
279,180,1,53,50,50,56,49,56,56,55,54,55,52
303,195,1,54,49,50,58,50,58,57,57,55,58,48
327,210,1,37,40,28,43,28,43,38,42,37,43,37
351,225,1,31,36,26,40,26,44,38,39,39,44,35
375,240,1,31,29,27,36,27,36,34,36,32,36,26
399,255,1,37,36,35,43,35,43,38,43,37,43,33
423,270,1,44,40,39,49,39,47,41,43,40,45,43
447,285,1,33,28,30,38,29,37,35,38,33,38,28
471,300,1,31,26,29,35,29,34,32,34,32,34,28
495,315,1,32,26,29,34,30,34,30,33,30,32,25
519,330,1,50,43,44,54,44,52,52,54,47,53,41
543,345,1,30,25,21,36,20,34,31,35,29,34,25
567,360,1,32,41,24,49,21,51,29,43,28,50,38
591,375,1,22,16,18,25,19,19,20,22,20,19,17
615,390,1,36,27,29,30,29,24,22,25,21,23,24
639,405,1,43,30,36,33,35,31,27,30,27,30,26
663,420,1,33,28,28,33,29,34,33,31,32,34,28
687,435,1,46,38,36,48,36,45,45,64,44,50,38
711,450,1,29,27,26,43,27,41,31,41,28,41,26
735,465,1,29,24,24,35,23,32,32,32,30,32,23
759,15,2,32,30,30,36,30,35,36,25,33,33,27
783,30,2,43,38,38,45,38,42,41,33,37,39,35
807,45,2,51,40,45,48,47,43,39,46,38,44,38
831,60,2,43,41,42,48,42,49,46,40,45,47,38
855,75,2,42,36,36,45,35,41,38,43,35,40,33
879,90,2,54,36,44,64,41,42,34,43,34,36,37
903,105,2,50,36,44,54,46,46,50,53,46,47,36
927,120,2,37,34,33,42,34,41,40,43,37,42,33
951,135,2,48,44,45,49,47,46,51,52,47,47,43
975,150,2,52,46,49,53,51,53,53,54,52,53,47
999,165,2,43,42,42,51,42,48,48,53,46,49,42
1023,180,2,39,37,40,37,42,37,41,41,41,38,43
1047,195,2,51,44,46,55,45,52,54,56,52,53,44
1071,210,2,51,45,51,54,50,51,53,54,50,52,43
1095,225,2,38,38,36,43,35,42,44,44,40,43,37
1119,240,2,36,31,32,36,31,33,35,36,32,33,30
1143,255,2,35,35,36,35,37,32,35,35,36,33,36
1167,270,2,43,43,39,46,42,47,47,48,45,48,43
1191,285,2,56,57,54,61,54,60,60,62,59,61,59
1215,300,2,62,64,51,69,51,67,68,71,63,69,62
1239,315,2,62,46,56,62,56,57,57,62,53,57,45
1263,330,2,47,43,47,53,47,52,49,54,46,52,42
1287,345,2,47,47,46,50,47,49,49,51,47,49,47
1311,360,2,49,45,45,56,45,53,47,54,42,51,41
1335,375,2,44,44,42,46,42,48,46,48,43,48,43
1359,390,2,38,36,39,39,40,37,39,40,37,38,37
1383,405,2,45,49,44,46,44,50,50,52,49,52,47
1407,420,2,47,55,52,54,54,57,58,58,56,58,55
1431,435,2,65,64,62,68,64,68,69,71,68,69,63
1455,15,3,68,66,59,70,61,69,71,71,69,70,64
1479,30,3,67,61,64,69,67,65,70,71,69,66,68
1503,45,3,63,65,62,70,62,69,69,71,66,70,64
1527,60,3,73,71,60,83,59,79,72,86,61,81,67
1551,75,3,79,74,71,80,72,76,78,80,73,77,76
1575,90,3,64,64,64,64,65,67,70,66,71,68,64
1599,105,3,57,58,56,63,56,62,62,67,60,64,59
1623,120,3,50,40,47,52,47,47,49,51,47,48,42
