load (MW),Change1,Change2,Change3,Change4,Change5
1472.166667,1472.28,1554.77,1311.72,1373.29,1332.72
1647.5,1832.19,1810.42,1427.69,1543.91,1598.36
1433.333334,1480.52,1441.98,1644.63,1598.77,1506.25
1273.333334,1239.25,1392.95,1130.27,1270.87,1091.92
1194.333334,1261.58,1300.92,1066.74,1324.51,1352.25
1589.166667,1445.45,1694.00,1775.24,1777.29,1778.55
2274.833334,2380.98,2162.37,2593.53,2176.04,2041.15
1941.416667,2105.47,1973.33,1821.28,1981.57,2062.58
2214.5,2014.36,2508.71,2162.52,2219.20,2344.13
2442.333334,2507.15,2266.57,2355.87,2360.00,2615.24
2510.083334,2845.30,2179.97,2591.12,2706.53,2726.26
1625.75,1787.26,1766.74,1834.19,1517.79,1757.55
1456.5,1434.21,1379.37,1647.05,1656.50,1507.79
1670.166667,1578.39,1858.05,1563.50,1826.37,1806.71
1695.5,1505.09,1852.28,1814.44,1831.90,1842.04
1972.25,2164.32,2180.55,1985.55,1697.21,1901.31
2000.916667,2011.99,2289.13,1880.29,2124.57,2211.69
1830.166667,1843.89,1637.71,1767.76,1782.05,1855.48
2064.416667,2308.15,2227.35,1977.25,1759.05,2136.74
2167.416667,2075.88,1877.04,2362.01,1917.60,2206.93
2346.083334,2219.88,2639.23,2493.03,2616.33,2465.47
1680.833334,1860.17,1532.36,1930.40,1836.48,1722.33
2161.25,2243.13,2088.53,2453.71,2080.48,2276.24
1783.916667,1668.98,2015.07,1779.85,1516.64,1877.42
2699.75,2981.03,2386.97,2687.62,2530.66,2369.44
2883.25,2898.40,3030.00,2936.27,3005.29,2683.08
2318.916667,2073.53,1998.93,2501.52,2357.19,2277.24
2317.416667,2192.79,2154.57,2003.92,2587.16,2160.98
1846.416667,1691.95,1651.44,1994.87,2090.86,1661.60
1697.166667,1633.29,1871.84,1918.29,1582.23,1576.90
2647.083334,2574.16,2980.55,2369.46,2985.16,3012.54
2188.5,2079.66,2048.58,2457.08,2025.42,2229.25
2109.583334,2381.16,2245.93,1968.08,1974.93,1949.54
2051.416667,2346.42,1778.23,1837.13,2117.63,1833.17
1569.25,1758.30,1538.94,1587.16,1706.04,1766.36
1975.666667,1971.54,1773.00,2189.63,2153.63,2075.65
2252.583334,2466.62,1966.80,2221.95,2025.49,1945.96
1884.75,1886.33,1996.80,1794.09,1999.19,1748.89
1978.416667,2114.83,2019.82,1731.68,2146.56,2245.39
1949.833334,1760.84,1727.48,1945.49,2203.19,2101.04
1613.416667,1775.10,1419.00,1374.55,1555.19,1709.50
1665,1777.88,1710.34,1860.95,1887.20,1866.35
1920.916667,1992.13,2100.29,1951.62,2116.87,1754.23
1509.666667,1486.17,1649.91,1508.80,1555.76,1410.61
1790.166667,1591.02,1699.85,1568.29,2000.00,1671.91
1904.666667,1890.35,1812.41,1676.21,1764.47,1773.61
1986.333334,2163.41,2152.99,2193.03,1916.59,1929.61
2201.083334,1951.59,1968.68,2365.92,2292.52,1969.43
1691.25,1499.41,1484.87,1866.25,1884.15,1497.67
1420.5,1440.17,1415.43,1403.76,1446.59,1610.49
1308.916667,1355.01,1180.13,1234.21,1425.60,1479.23
1430.75,1351.01,1457.76,1398.31,1444.76,1606.09
1726.916667,1571.01,1576.51,1880.18,1738.11,1617.76
1594.833334,1452.50,1739.76,1372.31,1692.06,1716.98
1542.666667,1764.66,1449.58,1399.37,1386.96,1590.59
1491.416667,1372.90,1559.38,1300.14,1514.80,1432.28
1974.833334,1730.52,2206.86,1938.14,1952.67,1985.99
1598.333334,1457.14,1556.70,1428.04,1767.14,1736.03
1625.25,1497.56,1835.70,1570.87,1747.54,1490.18
1552.916667,1705.07,1640.36,1555.30,1506.10,1694.59
1297.333334,1372.99,1398.75,1151.08,1438.43,1464.79
1129.083334,1058.81,1050.43,1189.84,978.84,1220.47
1149.5,980.82,1255.87,1009.27,1305.97,1256.02
1076.666667,1082.64,1138.25,1101.84,1193.08,1138.43
1117.083334,1244.71,1066.56,1036.88,952.25,1150.42
1322.166667,1355.89,1235.25,1163.24,1300.44,1508.26
1293.583334,1190.43,1357.18,1437.34,1344.25,1161.75
1498.833334,1388.11,1619.30,1502.27,1334.47,1516.51
