load (MW),Change1,Change2,Change3,Change4,Change5
1177.5,1018.34,1116.25,1186.37,1040.58,1136.18
1319.916667,1188.87,1485.42,1263.27,1341.84,1131.81
1152.166667,1136.01,1137.31,1043.76,1264.70,1276.14
1180.166667,1248.92,1075.90,1050.08,1341.43,1303.77
1291.75,1422.99,1354.98,1248.65,1212.11,1170.01
1792.416667,1558.52,1809.81,2052.12,1817.78,1748.52
1973,1705.52,2217.81,1815.43,2051.15,2094.69
2036.333334,2058.26,1859.56,1996.25,2260.48,1956.23
2124.75,1811.45,2214.30,2405.02,1986.45,2314.33
1992.416667,1983.01,2154.82,2001.81,1895.97,1970.57
1835.083334,1693.69,1586.71,1729.88,1727.64,1995.54
1291.25,1472.66,1192.88,1259.71,1183.01,1344.70
1248.25,1297.58,1325.59,1375.21,1429.28,1100.29
1443,1501.66,1556.99,1390.92,1264.32,1525.34
1573.583334,1798.00,1604.78,1804.92,1452.86,1353.96
1641.333334,1477.84,1685.56,1529.95,1877.40,1795.87
1730.416667,1676.84,1894.04,1602.58,1663.99,1517.73
1583.916667,1659.38,1765.14,1694.72,1414.49,1669.09
1805.75,1952.45,1788.62,2014.76,1750.40,1790.08
1854.25,1964.78,1815.76,1948.20,1987.64,1646.84
1829.083334,1884.40,1704.50,1693.28,1743.78,2091.93
1567.083334,1727.54,1430.48,1537.38,1544.84,1652.93
1761.083334,1637.87,1755.83,1857.49,1750.05,1965.71
1503.25,1676.37,1329.77,1413.28,1424.43,1552.64
2794.583334,2481.82,3036.18,2439.75,2388.24,2743.99
2572.416667,2811.75,2677.86,2205.49,2663.20,2325.91
2188.833334,2204.77,1913.22,2314.81,1874.34,2211.75
1905.583334,1835.95,1891.01,2126.72,1805.56,1804.76
1518.25,1604.16,1349.69,1638.37,1373.39,1460.00
1894.75,2102.04,1617.88,2056.05,1902.98,2085.70
1769.333334,1542.38,1765.08,1892.13,1548.50,1712.14
1496.583334,1333.85,1657.20,1295.16,1371.25,1274.80
1693.083334,1860.68,1774.05,1936.17,1704.72,1716.58
1395.5,1350.77,1395.40,1452.75,1431.62,1566.06
1292.333334,1472.73,1398.23,1309.78,1286.67,1265.85
1989.833334,2129.97,1738.43,2227.69,1772.19,1976.88
2123.75,1961.70,2435.35,2044.13,2022.28,2261.07
1804.083334,1965.87,1961.30,1768.29,1876.71,1713.56
1419.5,1440.73,1398.95,1292.32,1255.16,1462.15
1690.833334,1899.49,1601.71,1608.26,1617.09,1797.39
1386.666667,1571.22,1367.48,1483.82,1499.99,1456.54
1477.916667,1320.14,1307.19,1389.81,1580.30,1379.38
1571,1735.58,1756.44,1470.80,1453.95,1343.01
1190.166667,1072.39,1072.70,1225.78,1337.25,1232.60
1564.333334,1497.85,1758.56,1518.51,1383.22,1359.49
1739.666667,1986.45,1924.30,1513.39,1914.88,1690.89
1632.083334,1689.43,1671.44,1635.06,1572.73,1479.66
1605.916667,1629.54,1734.01,1390.47,1470.77,1667.75
1397.416667,1356.95,1603.17,1577.13,1200.15,1303.95
1108.583334,1256.73,961.11,1061.91,1106.73,1213.23
1093.083334,1011.32,1023.52,1224.54,1052.82,1117.27
1298.416667,1422.05,1438.37,1246.55,1351.01,1288.69
1235.083334,1276.77,1075.59,1376.93,1094.91,1181.72
1382.583334,1317.97,1198.93,1231.76,1355.29,1556.07
1361.666667,1174.41,1435.72,1417.39,1386.87,1452.95
1296.25,1237.07,1292.10,1367.51,1277.27,1359.03
1939.833334,1921.18,1653.44,1684.25,1665.24,1789.76
1220.25,1119.51,1358.25,1047.85,1356.79,1335.77
1170.916667,1019.26,999.99,1340.25,1135.88,1155.00
1121.166667,1038.84,1198.56,1240.77,1109.25,1106.26
1072.25,1132.51,1068.31,1004.10,1227.38,968.80
1125.916667,1052.20,1184.35,1028.92,1201.69,1069.27
1040.25,1149.61,928.60,1127.45,1172.13,1093.20
1065.166667,1106.47,926.52,1084.18,912.92,959.88
1051.083334,1114.35,942.15,917.67,1116.23,994.03
1129.583334,1171.46,1075.40,1030.30,1161.37,1005.49
1037.916667,1093.02,1098.86,903.75,980.86,1153.89
1512,1366.73,1699.75,1586.61,1626.89,1590.22
