trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
2,2,1,46,36,42,43,42,43,44,44,39,43,32
26,4,1,44,44,33,44,36,47,42,46,41,48,39
50,6,1,46,50,40,48,41,50,46,47,45,49,53
74,8,1,62,59,58,62,57,60,62,61,61,61,62
98,10,1,63,62,45,66,45,63,56,62,48,64,62
122,12,1,46,35,43,50,41,44,41,48,40,44,36
146,14,1,29,18,25,29,24,25,23,26,22,25,18
170,16,1,26,22,20,26,24,26,21,25,24,26,20
194,18,1,33,28,31,31,31,30,30,30,30,30,29
218,20,1,22,18,16,27,14,26,20,25,18,25,14
242,22,1,18,4,10,13,11,11,11,11,7,8,3
266,24,1,30,33,30,29,30,29,31,28,30,30,35
290,26,1,30,48,39,30,42,43,33,27,33,38,37
314,28,1,34,30,30,36,29,35,32,32,30,35,29
338,30,1,40,37,34,38,35,39,33,37,31,40,35
362,32,1,27,22,18,26,15,31,23,27,24,29,20
386,34,1,28,19,22,24,22,24,21,22,21,21,16
410,36,1,37,35,30,36,30,37,33,35,32,37,34
434,38,1,34,27,29,35,28,36,29,32,29,35,25
458,40,1,26,16,22,26,22,23,22,25,22,22,17
482,42,1,26,18,22,24,22,23,20,23,19,22,15
506,44,1,25,26,17,28,20,27,22,21,20,23,25
530,46,1,32,23,25,34,22,35,27,31,28,34,22
554,48,1,29,26,18,32,18,30,28,32,24,30,28
578,50,1,23,17,13,25,16,25,19,23,20,24,16
602,52,1,25,18,17,26,18,17,16,19,17,17,18
626,54,1,36,28,31,31,30,26,23,26,23,26,24
650,56,1,31,24,27,33,26,28,27,31,27,28,22
674,58,1,29,27,22,30,23,31,20,58,24,38,28
698,60,1,30,31,28,37,27,36,31,53,31,37,34
722,62,1,25,14,17,26,17,24,17,25,18,23,14
746,2,2,24,11,19,19,19,22,17,8,14,17,7
770,4,2,22,15,19,20,18,24,20,8,18,19,11
794,6,2,35,35,28,34,26,35,28,23,28,32,34
818,8,2,39,35,33,38,35,38,31,47,31,39,36
842,10,2,30,24,28,27,31,32,25,27,23,30,19
866,12,2,41,33,33,40,34,34,31,37,31,33,33
890,14,2,53,38,44,55,42,43,36,46,34,41,36
914,16,2,36,28,32,37,31,32,32,36,31,33,28
938,18,2,27,22,21,30,24,29,28,29,27,28,21
962,20,2,43,36,42,43,42,38,41,43,38,39,39
986,22,2,44,37,37,42,41,43,39,36,37,41,36
1010,24,2,33,31,27,38,31,36,32,37,32,36,32
1034,26,2,32,32,33,33,33,31,30,29,29,30,36
1058,28,2,37,38,33,41,33,43,41,42,38,41,39
1082,30,2,39,27,31,42,31,37,30,37,29,34,27
1106,32,2,29,23,25,29,25,28,27,31,25,28,20
1130,34,2,26,22,19,26,20,24,20,24,18,22,21
1154,36,2,35,25,32,34,33,29,29,35,29,29,25
1178,38,2,37,38,28,27,31,39,28,27,33,36,36
1202,40,2,34,31,31,37,31,38,34,36,35,35,34
1226,42,2,53,52,53,56,52,55,56,59,54,57,52
1250,44,2,41,34,40,41,40,39,37,35,34,37,37
1274,46,2,36,27,31,30,33,35,30,28,29,31,25
1298,48,2,36,34,35,42,36,40,37,41,36,39,35
1322,50,2,38,35,34,38,33,38,35,38,34,38,35
1346,52,2,34,29,28,33,29,34,29,34,29,33,28
1370,54,2,37,33,33,38,33,37,36,38,35,37,33
1394,56,2,27,23,27,30,32,32,30,27,34,30,25
1418,58,2,30,27,32,29,35,34,30,27,29,30,25
1442,2,3,48,37,34,46,39,43,41,37,38,42,32
1466,4,3,56,52,54,61,53,56,57,62,55,56,54
1490,6,3,56,41,49,60,51,53,50,60,46,51,38
1514,8,3,53,53,48,52,50,54,55,55,54,56,53
1538,10,3,47,55,46,54,46,61,53,56,49,59,51
1562,12,3,70,64,69,70,69,70,72,72,70,71,64
1586,14,3,53,45,49,53,49,49,50,46,45,48,44
1610,16,3,43,41,41,42,42,46,42,44,43,46,41
1634,18,3,39,33,36,33,38,36,30,33,30,36,33
