load (MW),Change1,Change2,Change3,Change4,Change5
1376.416667,1175.43,1400.86,1351.01,1409.36,1371.18
1168.25,1160.88,1080.80,1293.78,1327.64,1000.60
1175.75,1213.31,1239.54,1316.25,1192.59,1117.78
828.5833335,735.18,921.64,912.55,888.62,841.62
842.25,896.19,929.45,764.12,886.04,719.71
1344.333334,1511.81,1220.84,1176.49,1314.15,1434.69
2273.833334,2486.34,2460.89,2436.61,2318.80,2003.99
2122,1851.53,2123.80,2331.88,2051.05,2318.13
1770.083334,1801.71,1608.07,1937.67,2032.07,1818.71
2005.583334,1829.72,2048.59,1904.29,2248.22,1865.16
2701.916667,3015.24,2731.48,2391.46,2456.96,2892.41
1907.916667,2080.50,2192.47,2028.63,2190.36,2094.74
1457.416667,1279.33,1634.01,1593.08,1374.14,1390.44
1556.833334,1778.31,1731.44,1724.92,1619.73,1455.65
1350.333334,1549.71,1324.92,1278.08,1373.54,1304.98
1963.25,1686.52,2053.57,1980.87,2154.12,1757.36
1873.166667,1634.05,1750.68,2150.22,2051.29,1930.93
1404.416667,1409.76,1280.09,1399.31,1284.66,1320.10
1672.75,1454.40,1449.86,1759.00,1729.69,1439.75
2283.166667,2236.27,2192.10,2125.79,2550.47,2460.92
2126.333334,2316.46,2216.62,1941.70,2301.41,2303.61
2067.083334,2017.30,2156.80,2072.51,2362.02,1920.30
2045.583334,2153.00,2007.63,2157.43,2049.13,2179.60
1765.333334,1765.92,1746.19,2011.49,1580.95,1532.51
1934.25,2138.73,1893.32,1988.61,2139.30,2038.40
2533.166667,2328.95,2356.62,2339.50,2161.92,2247.23
2073.916667,1859.40,1937.25,2252.68,2360.27,2288.72
2133.25,2307.52,2290.64,1867.47,2310.08,1890.01
1960.916667,1805.02,2220.06,2001.41,2004.23,1783.85
1658.166667,1473.92,1604.60,1745.19,1515.97,1726.54
2515.583334,2781.78,2706.04,2427.43,2583.55,2706.23
2200.416667,2220.74,2352.80,2413.00,2497.67,1985.44
2024.583334,1896.79,2022.70,1743.53,2235.24,2308.79
1716.166667,1713.29,1900.03,1857.42,1537.42,1689.98
1571.583334,1364.69,1639.15,1606.01,1522.54,1409.94
1831.833334,1711.93,1679.96,2061.21,2029.80,2036.88
1839.083334,2051.71,1885.81,2105.60,1617.85,1762.88
1574.333334,1662.79,1417.68,1664.34,1505.51,1379.93
1901.333334,2044.45,2177.23,2002.41,2184.23,1784.55
1851.083334,1983.79,2118.30,1610.23,1705.06,2040.90
1618.333334,1694.47,1743.52,1533.82,1783.16,1503.76
1483.833334,1620.12,1386.75,1576.09,1525.64,1445.09
1550.5,1707.41,1664.91,1501.03,1454.36,1510.97
1791.666667,2033.80,2056.33,1600.93,1611.30,1701.63
1418,1516.50,1576.90,1288.89,1463.60,1205.98
1525,1562.99,1414.46,1421.27,1694.28,1637.07
1911.333334,1914.79,1628.31,1648.74,1910.66,1834.88
2046.916667,2131.50,2148.22,2216.95,1967.77,2337.95
2100.166667,1988.21,2044.77,2110.41,2203.55,2292.28
1563.166667,1639.07,1782.20,1384.99,1392.74,1337.13
1397.583334,1234.61,1461.88,1419.82,1318.74,1569.84
1012.25,1110.57,933.55,991.42,974.28,952.35
1484.916667,1535.45,1512.22,1271.53,1659.06,1268.13
1640.666667,1867.46,1719.15,1649.80,1515.59,1808.53
1403.25,1420.64,1308.50,1448.28,1503.73,1399.37
1518.416667,1532.59,1687.50,1622.26,1463.86,1643.60
1674.083334,1490.77,1792.70,1511.10,1435.52,1432.21
1583,1787.97,1585.11,1660.49,1469.50,1587.75
1738.333334,1826.80,1653.25,1915.91,1550.26,1486.43
1506.333334,1394.55,1435.66,1718.17,1384.20,1659.06
1170.5,1186.24,1137.59,1205.94,1147.55,1022.71
931.25,946.72,954.42,963.26,799.01,879.83
1009.75,874.86,1134.55,910.21,1025.18,1056.27
835.5833335,732.81,892.25,798.95,870.94,801.77
764.5833335,764.74,801.52,792.39,693.68,849.39
784.5,812.63,843.50,806.96,742.50,811.03
873.3333335,911.57,850.35,759.08,963.58,922.11
1170.916667,1124.52,1032.09,1210.80,995.53,1108.80
1442.083334,1635.76,1351.93,1258.21,1625.81,1348.13
