load (MW),Change1,Change2,Change3,Change4,Change5
1094.833334,1237.12,1053.99,1149.87,1258.53,1129.22
1287.333334,1164.99,1116.46,1232.90,1220.37,1122.83
1117.833334,1284.21,1106.40,986.11,1237.11,995.08
1134.5,1246.86,1174.28,1039.64,1034.39,1082.83
1195.833334,1077.75,1200.73,1180.61,1293.64,1136.81
1596.833334,1718.54,1646.04,1636.76,1776.91,1709.04
1751.083334,1837.77,1637.74,1776.70,1728.61,1823.75
1906.916667,1968.40,1990.95,1787.93,1820.33,2098.81
2077.666667,2351.89,1940.89,2147.31,2349.59,2252.60
1871.416667,1668.16,1918.54,1978.02,1875.62,1828.61
1781.333334,1918.34,1535.64,2016.61,1969.86,1556.69
1177.166667,1329.48,1145.96,1322.79,1132.81,1206.57
1164.333334,1135.77,1031.52,1259.12,1175.45,1338.93
1279.083334,1146.14,1201.92,1460.48,1235.82,1433.11
1417.75,1223.65,1483.68,1522.82,1532.48,1547.89
1495.5,1496.63,1650.74,1712.41,1651.56,1620.48
1667.75,1630.81,1659.12,1797.99,1722.59,1472.73
1568.416667,1548.79,1578.78,1763.09,1644.59,1465.47
1709.916667,1487.84,1912.50,1889.63,1700.67,1902.58
1737,1588.19,1964.45,1718.12,1870.59,1647.97
1788.166667,1610.87,1909.21,2024.24,1692.82,1671.67
1498.75,1514.80,1425.76,1483.89,1382.17,1296.01
1622.666667,1591.31,1760.88,1730.87,1732.91,1622.89
1471.833334,1543.59,1293.81,1392.86,1501.53,1346.18
2760.666667,3060.18,2367.37,2350.49,3173.32,2739.63
2545.75,2205.77,2323.16,2324.53,2853.55,2820.81
2119.916667,2288.85,2213.36,2078.37,2373.68,2261.64
1841.333334,1819.98,2038.49,1780.79,1898.21,1868.05
1429.083334,1353.23,1360.43,1340.12,1620.06,1325.03
1704.916667,1669.01,1512.27,1479.15,1537.54,1508.56
1715.916667,1507.65,1521.52,1686.49,1862.84,1895.83
1432.583334,1612.50,1399.27,1445.26,1449.56,1412.77
1568.25,1768.25,1401.98,1605.85,1405.31,1739.42
1348.333334,1153.93,1214.64,1513.70,1442.67,1268.65
1170.5,1081.68,1061.78,1299.05,1280.48,1297.46
1837.666667,1662.68,1779.82,2106.02,1984.88,1601.94
2090.166667,2163.97,1944.87,1904.10,1939.22,2343.88
1724.5,1833.58,1828.56,1762.26,1786.64,1974.17
1396.333334,1204.04,1289.19,1308.67,1423.05,1461.41
1601.75,1829.22,1675.44,1835.05,1655.71,1776.44
1302.333334,1346.87,1457.58,1443.08,1433.87,1370.05
1345,1400.40,1424.02,1331.67,1313.82,1473.40
1547.416667,1630.05,1573.91,1557.79,1737.58,1720.61
1133.583334,1026.25,1143.71,1262.34,1079.12,1012.26
1528.5,1608.16,1534.11,1644.09,1690.34,1353.57
1654.666667,1521.20,1539.37,1590.19,1755.98,1847.56
1567.25,1706.28,1469.40,1575.70,1595.51,1465.32
1526.5,1528.09,1672.69,1733.94,1608.85,1397.46
1302.083334,1273.58,1110.01,1135.42,1117.44,1495.97
1068.333334,964.59,950.24,1012.60,1109.37,1013.31
1029,938.76,890.31,909.20,1081.21,1165.22
1288,1094.92,1332.77,1375.57,1120.48,1424.75
1205.916667,1262.59,1246.63,1229.62,1210.77,1245.81
1272.75,1186.32,1454.91,1246.39,1153.04,1168.37
1335.25,1274.10,1366.86,1468.98,1172.03,1277.68
1187.916667,1296.89,1057.87,1302.44,1289.26,1193.94
1871.25,1825.52,1948.38,1724.17,1889.44,1689.32
1174.166667,1109.40,1276.21,1263.18,1268.83,1234.37
1143.916667,1011.44,1162.64,1110.33,1025.47,1195.98
1072.833334,1057.35,1143.13,1221.76,978.33,1028.17
996.25,1086.84,1141.02,937.62,941.64,1064.51
1107.833334,1089.24,1129.41,1178.67,1270.73,1200.37
1012.916667,919.90,1063.25,904.87,969.04,896.34
1026.25,909.42,1072.62,1121.28,888.21,875.47
1017.666667,988.67,1129.12,1085.22,1072.72,895.90
1111,1256.79,1037.86,1120.82,1012.43,1038.71
1010.5,905.80,1042.85,1112.93,1104.14,907.94
1396.75,1461.94,1453.22,1348.52,1556.55,1437.31
