load (MW),Change1,Change2,Change3,Change4,Change5
1519.583334,1640.02,1520.39,1491.29,1667.73,1474.09
1554.166667,1782.08,1610.01,1781.99,1522.04,1383.45
1366.166667,1268.15,1502.39,1458.48,1259.25,1330.85
1434.833334,1241.74,1355.38,1614.99,1379.14,1534.56
1590.75,1475.03,1423.41,1682.81,1411.11,1792.00
2397.333334,2737.47,2479.32,2466.01,2500.42,2443.15
2486.5,2658.68,2611.94,2762.02,2397.99,2168.29
2290.5,2455.01,2257.93,2116.39,2555.75,2536.83
2342.75,2088.90,2533.62,2275.34,2172.42,2003.65
2506.083334,2798.58,2525.56,2183.42,2493.48,2312.56
2253.75,2220.72,2555.77,1996.74,2388.65,1980.57
1776.083334,1797.74,1993.41,1939.75,2002.06,1707.31
1780.25,1655.78,1671.81,1714.11,1944.96,1891.11
1919.25,1858.61,1953.04,2134.23,2027.87,1867.34
2134.416667,2133.49,2067.58,2225.34,1983.89,2088.80
2086.833334,1929.02,2196.58,1831.10,2092.43,2214.65
1852.083334,1613.92,2026.50,1629.34,1699.72,1658.05
1835.166667,1720.26,1941.33,1924.57,2017.03,1592.57
2507.166667,2792.61,2628.05,2640.50,2244.37,2707.12
2427.5,2090.82,2120.28,2500.06,2076.98,2307.93
2372,2705.67,2387.61,2137.20,2415.73,2372.82
2036.166667,2146.25,2070.75,2282.61,2244.21,1880.78
2125.833334,1812.98,2293.28,2303.55,2377.35,2324.75
1909.083334,2166.84,2035.28,1821.47,1998.12,2016.87
2942.166667,2503.92,3175.43,3353.64,3310.26,3271.81
2565.5,2609.53,2240.55,2298.87,2529.85,2679.74
2351.666667,2228.60,2148.27,2186.35,2654.58,2465.75
2352,2277.64,2361.11,2478.34,2248.24,2573.05
2012.916667,2172.01,1863.71,2022.53,2112.29,1803.97
2343.416667,2395.18,2039.77,2236.24,2504.85,2006.44
2292.083334,2303.12,2108.67,2463.26,2537.66,2387.09
1976.166667,1916.45,1771.10,2066.56,1796.22,1977.30
2115.083334,2197.13,1992.56,2311.58,2098.39,1880.14
1915.416667,2113.68,1826.07,1697.63,1902.77,1792.84
1916.75,1632.79,1712.37,1632.74,1827.98,1814.20
2246.5,2504.93,1972.24,2065.07,2451.38,2311.97
2105.5,2227.86,2153.29,2087.27,2165.47,1893.55
2125.166667,2145.29,2426.06,2439.53,2371.02,1940.02
2056.666667,2200.70,2070.33,1920.56,1984.20,1972.76
2024.333334,1776.69,2198.87,1887.96,1746.30,2138.27
1844.25,1960.94,1732.99,1870.49,1722.87,2041.99
1909.666667,2092.18,1912.26,1931.02,1687.12,1665.70
2065.166667,2015.99,1781.79,1850.31,2318.39,2048.57
1659.583334,1718.99,1540.28,1585.96,1641.16,1533.81
1722.833334,1523.75,1586.01,1479.06,1654.37,1554.63
2062.75,2152.62,2091.98,2197.51,1984.59,1806.84
2303.583334,2399.49,2387.92,2489.65,2032.40,2538.39
2201.833334,1973.58,2316.68,2130.84,2336.48,2229.08
1937.666667,1877.52,1693.92,2032.57,1968.17,1710.70
1537.25,1663.51,1759.07,1545.64,1437.16,1555.82
1366.166667,1174.26,1323.91,1475.74,1196.37,1289.18
1662.916667,1667.56,1531.29,1886.20,1755.83,1564.48
1719.583334,1541.73,1970.96,1829.85,1561.92,1929.94
1794.583334,1558.95,1743.46,1528.00,1800.71,1864.01
1728.666667,1980.83,1569.92,1924.78,1502.69,1764.76
1838.416667,1919.35,2048.00,1621.51,1836.35,1855.46
2128.75,2161.78,2092.33,2096.20,1990.35,2182.99
1664.333334,1619.61,1418.83,1680.29,1473.22,1631.19
1470.416667,1346.49,1306.53,1401.35,1478.73,1682.51
1504.25,1603.73,1621.34,1606.17,1602.41,1665.74
1457,1355.77,1353.26,1659.40,1457.81,1537.84
1464.333334,1259.62,1498.32,1608.56,1426.84,1510.23
1359.583334,1387.75,1520.42,1389.53,1490.75,1298.51
1381.666667,1448.05,1418.47,1464.06,1516.95,1212.33
1272.333334,1211.06,1359.44,1421.05,1170.91,1228.08
1268.666667,1081.00,1126.15,1203.56,1367.42,1351.45
1077.833334,1228.47,1057.89,929.41,1119.26,1053.56
1919.666667,1917.23,1864.41,1970.59,1941.38,2031.06
