load (MW),Change1,Change2,Change3,Change4,Change5
1364.5,1286.00,1210.38,1550.07,1435.11,1473.99
1547,1377.20,1352.17,1478.86,1578.33,1747.32
1329.166667,1306.23,1250.47,1355.70,1400.18,1470.61
1217.083334,1339.11,1188.20,1072.82,1114.77,1121.71
1159,1207.44,1224.43,1167.16,1176.54,989.93
1453.916667,1362.55,1286.04,1514.60,1360.53,1436.70
2103.583334,2310.49,2402.67,2118.28,2048.92,2271.65
1924.166667,1722.40,2120.02,1986.56,1677.95,1836.22
2137.333334,2040.05,1946.63,2017.25,2203.26,1960.69
2251.416667,2293.03,2448.62,1927.54,2280.08,2355.17
2213.416667,2419.90,1908.73,2099.23,1889.77,2531.18
1450,1517.55,1598.57,1511.96,1362.08,1591.90
1329.083334,1273.18,1515.45,1183.88,1408.75,1335.58
1495.5,1466.93,1486.96,1417.41,1658.69,1611.03
1594.583334,1726.31,1442.52,1658.35,1433.48,1708.78
1834.666667,1972.22,1695.23,1638.22,1861.02,1919.92
1807.333334,1837.37,1735.08,1583.64,1566.04,1914.45
1768.916667,1558.80,1661.09,1810.30,1753.26,1921.94
1960.416667,2246.44,2223.36,2098.44,1933.27,1823.51
1984.25,2058.94,2278.68,2001.23,2152.39,1883.77
2263.666667,1941.09,1998.47,2036.65,2581.04,2183.82
1543.5,1598.91,1354.71,1489.31,1552.19,1692.78
1960.5,2215.97,1838.18,1891.92,1915.66,1991.35
1683.333334,1843.36,1659.43,1586.01,1767.16,1849.57
2732.666667,2946.40,2495.54,2735.02,2596.17,3052.69
2795.5,2649.98,3102.49,2773.20,2481.18,2556.03
2264.75,2393.60,2021.20,2189.22,2014.51,2281.81
2180.916667,1869.79,2311.87,2399.38,2209.69,1994.33
1705.166667,1619.02,1926.21,1677.44,1814.45,1953.06
1641.083334,1753.03,1769.80,1780.26,1553.56,1573.20
2392.083334,2061.35,2243.79,2289.05,2038.74,2378.71
1957.25,1905.47,2026.26,2018.72,1699.59,1760.86
1802.25,1597.08,1983.64,1548.65,1586.48,2056.37
1918.083334,2160.53,2090.75,2142.86,1989.55,2106.56
1462.916667,1597.06,1471.82,1590.93,1435.26,1305.05
1821.583334,1826.13,1691.92,1673.79,1883.67,1612.66
2193.083334,2355.08,2443.04,2293.91,2121.82,2442.37
1743.25,1516.41,1660.26,1949.78,1852.66,1657.83
1806.416667,2042.13,1821.28,1898.63,1886.36,1763.18
1800.833334,2053.20,1879.69,1999.03,1575.91,1827.32
1493,1339.41,1467.81,1452.18,1370.20,1546.85
1511.916667,1397.81,1705.74,1684.05,1633.06,1296.23
1816.25,1578.68,1933.60,1690.10,1674.51,2006.95
1337.333334,1285.19,1533.42,1379.51,1445.20,1289.37
1686.166667,1867.36,1698.19,1576.55,1527.80,1615.54
1805.5,2018.55,1554.21,1891.22,1995.86,1961.02
1822.666667,1772.73,1549.90,2081.53,1772.83,1622.43
2096.333334,2081.55,1928.66,1948.96,2279.27,1834.46
1490.416667,1624.45,1357.19,1455.20,1571.02,1422.00
1288.833334,1141.55,1388.31,1316.46,1469.93,1359.56
1194.833334,1037.38,1087.49,1070.28,1216.88,1264.04
1409.416667,1281.36,1590.88,1342.92,1216.71,1271.75
1509.833334,1653.37,1486.04,1726.80,1311.02,1523.73
1468.666667,1446.04,1629.40,1596.30,1349.59,1503.15
1373.583334,1446.62,1254.02,1506.57,1240.78,1370.62
1366.666667,1530.65,1516.16,1277.70,1407.61,1483.32
1921.416667,2159.12,1735.33,1777.72,1921.28,1758.27
1515,1606.28,1540.45,1473.82,1700.91,1418.59
1446.75,1537.26,1439.87,1538.30,1325.40,1646.57
1254.166667,1359.23,1422.40,1441.29,1422.79,1266.51
1193.083334,1119.14,1085.42,1165.10,1228.88,1210.84
1101.666667,1093.86,987.98,1248.75,1128.18,1237.62
1065.75,1219.59,1079.01,1046.46,1093.20,909.56
1035.416667,955.84,1118.88,913.55,898.93,1121.78
1071.166667,1061.42,1021.05,1127.03,1091.11,1011.16
1294.583334,1389.19,1159.80,1347.48,1316.06,1122.05
1193.583334,1063.48,1120.50,1218.94,1195.28,1045.73
1435.583334,1410.18,1611.96,1626.98,1589.58,1534.99
