load (MW),Change1
1229.166667,1224.60
1271.5,1160.97
1035.333334,995.66
977.25,863.86
1334.833334,1194.85
2208.916667,1942.01
2142.333334,2284.46
1856.5,1869.47
1985.333334,1857.40
2504.666667,2562.02
1973.583334,1905.53
1474.833334,1601.40
1509.833334,1597.55
1527.75,1541.58
1913.166667,1675.58
1921.416667,2123.69
1518.166667,1543.91
1655.75,1690.49
2247,1935.09
2156.916667,2043.66
2047,2310.60
1356.083334,1406.12
1799.5,2047.06
1819.333334,1680.95
2527.083334,2817.62
2126.083334,2064.11
2030.833334,2332.37
2026.166667,2293.74
1707.5,1809.77
2316.166667,2451.21
2159.333334,2410.34
1979.833334,1911.84
1736.916667,1787.28
1622.75,1655.70
1780.666667,1535.33
1836.75,1905.84
1684.5,1604.88
1976.25,1780.15
1851.916667,2080.78
1646.833334,1585.20
1523.416667,1376.85
1615.5,1702.14
1814.916667,1558.65
1508.25,1306.16
1514.583334,1438.47
1872.583334,1663.50
2093.083334,2103.57
1996.75,1978.08
1594.583334,1398.12
1341.916667,1294.67
1136.833334,1053.75
1526.25,1642.94
1546.166667,1754.65
1504.166667,1492.75
1410.5,1296.83
1671.583334,1851.35
1657.25,1781.19
1653.75,1851.42
1418.583334,1409.19
1210.75,1088.90
1052.666667,922.28
1065.5,1074.04
936,824.50
928,789.18
957.1666665,850.48
976.5833335,876.84
1041.583334,1160.36
1464.75,1548.90
