load (MW),Change1
1477.25,1494.21
1339.333334,1498.47
1290.916667,1240.00
854,783.49
1008.416667,1127.44
1686.166667,1646.39
2625.25,2533.43
2379.333334,2733.72
2134.166667,2361.36
2219.25,2185.27
3009.5,3348.68
2135.333334,2035.35
1728.666667,1698.26
1970.166667,1894.59
1644.25,1532.44
2296.166667,2394.23
1986.833334,1707.96
1414.583334,1362.96
2007.083334,1802.67
2654.833334,2914.39
2429.583334,2094.14
2309.5,2328.88
2414.666667,2173.37
1833.833334,1782.03
2141.166667,2022.15
2664.083334,2674.45
2176.666667,2374.91
2446.5,2423.65
2156.666667,2246.97
1903.75,1942.07
2869.666667,2951.95
2411.333334,2246.01
2466.416667,2515.63
1990.083334,1834.02
1893.583334,1902.98
2136.166667,2062.10
2001.416667,1925.77
1665.333334,1529.47
2059.833334,2241.43
2219.833334,2200.95
1843.583334,1626.65
1743.666667,1814.24
1777.833334,1757.52
2004.083334,2031.84
1517.666667,1538.69
1697.916667,1838.19
2189.833334,2278.50
2257.083334,2211.49
2475.333334,2717.27
1875.583334,2121.22
1761.833334,1787.63
1078.75,1086.34
1644.916667,1785.86
2010.166667,2111.99
1645.083334,1609.14
1897.666667,1865.91
1947.583334,1686.12
1814.5,1614.38
1989.083334,1838.81
1757.416667,1843.85
1589.75,1784.97
1125,1179.39
1293.833334,1403.49
1035.5,889.69
931.1666665,795.03
817.1666665,910.82
1054.833334,1112.26
1475.666667,1271.06
1818,1902.51
