load (MW),Change1
1493.75,1312.21
1536.916667,1506.10
1283.833334,1430.90
1386.083334,1582.51
1599.333334,1384.49
2409.916667,2106.45
2483.833334,2418.31
2240.833334,2289.68
2275.916667,2401.87
2571.5,2885.24
2245.166667,2298.46
1791.916667,2032.34
1788.666667,1944.14
1912.416667,2105.05
2176.166667,2340.59
2086.333334,2219.16
1805.916667,1957.44
1829.666667,2068.38
2518.5,2530.32
2454.833334,2665.77
2369.5,2525.16
2039.416667,2122.27
2097.916667,2316.07
1914.75,1774.57
2846.166667,3176.40
2464.75,2702.69
2307.166667,2542.93
2322.166667,2279.65
2009.75,1963.33
2387.083334,2563.62
2297.5,2196.81
2012.083334,1893.52
2032.166667,1783.44
1890.083334,2065.01
1956.75,1913.76
2196.666667,2109.80
2007.083334,1759.24
2095.916667,2187.08
2080.75,2077.22
1988.416667,2111.22
1826.583334,1721.55
1929.25,2034.58
2092.083334,1844.17
1704.083334,1943.88
1670.833334,1471.84
2021.5,1783.27
2316.25,2374.44
2214.166667,2208.45
1953.75,1860.67
1554.583334,1395.69
1351.5,1486.27
1677.5,1495.58
1753.166667,1964.29
1796.083334,1691.42
1730.833334,1540.27
1883,1953.83
2059.5,1881.85
1734,1651.87
1479.5,1422.92
1489.333334,1454.47
1405.833334,1300.25
1410,1383.63
1354.166667,1209.09
1345.333334,1500.51
1238.166667,1288.24
1238.083334,1092.33
1055,1118.29
1898.833334,1887.58
