load (MW),Change1
1422,1302.77
1243.333334,1061.18
1231.25,1226.82
823.4166665,848.07
868.25,869.90
1492.416667,1339.23
2427.5,2097.73
2184.916667,2362.11
1918.833334,1701.68
2118.166667,1952.85
2880.333334,2901.40
1971.5,2112.14
1535.5,1483.03
1755.416667,1899.93
1444.5,1327.43
2136.416667,1847.27
1945.583334,1717.69
1398.416667,1454.43
1843.666667,2056.88
2434.25,2319.95
2242.666667,2159.04
2152.5,2423.61
2242.5,1996.05
1786.666667,1717.63
2039.083334,2174.04
2595.333334,2345.43
2118.833334,1938.73
2263.5,2130.04
2034.25,2079.23
1754.083334,1597.98
2730.916667,2477.90
2321.666667,2413.42
2226.583334,2435.18
1857.25,2078.08
1679.666667,1705.82
1954.5,1881.47
1899.5,1798.99
1627.583334,1625.22
1983.666667,1971.94
2012.416667,1918.47
1671.833334,1580.10
1579.666667,1676.38
1619.916667,1654.94
1851.75,1654.83
1464.916667,1251.34
1648.083334,1882.04
2053.25,1982.42
2113.666667,1893.29
2282.75,2337.12
1687.833334,1530.23
1548.75,1628.01
1033.916667,934.39
1558.5,1408.12
1800.166667,1799.19
1487.083334,1427.18
1674.75,1691.22
1774.25,1885.40
1665.833334,1571.26
1870.333334,1714.56
1648.666667,1458.51
1355.333334,1291.48
968.3333335,899.31
1118.083334,1062.46
879.75,975.22
804.6666665,806.61
774.25,877.65
954.0833335,833.44
1280.75,1111.39
1615.416667,1695.46
