load (MW),Change1
1177.5,1075.86
1319.916667,1314.88
1152.166667,1227.06
1180.166667,1074.73
1291.75,1143.09
1792.416667,1932.98
1973,1933.60
2036.333334,1734.66
2124.75,2157.52
1992.416667,2103.15
1835.083334,1796.83
1291.25,1154.47
1248.25,1103.71
1443,1482.48
1573.583334,1557.06
1641.333334,1749.62
1730.416667,1844.48
1583.916667,1654.44
1805.75,2060.42
1854.25,2088.10
1829.083334,1721.37
1567.083334,1686.49
1761.083334,2000.18
1503.25,1501.40
2794.583334,2910.33
2572.416667,2706.36
2188.833334,2371.54
1905.583334,1933.06
1518.25,1346.85
1894.75,1733.78
1769.333334,1752.01
1496.583334,1334.95
1693.083334,1516.34
1395.5,1282.87
1292.333334,1403.06
1989.833334,1829.22
2123.75,1945.24
1804.083334,1948.49
1419.5,1399.35
1690.833334,1499.55
1386.666667,1549.82
1477.916667,1447.57
1571,1666.43
1190.166667,1273.21
1564.333334,1506.77
1739.666667,1947.86
1632.083334,1491.56
1605.916667,1563.88
1397.416667,1458.94
1108.583334,1094.44
1093.083334,1112.20
1298.416667,1426.87
1235.083334,1054.41
1382.583334,1508.18
1361.666667,1490.67
1296.25,1221.94
1939.833334,2205.18
1220.25,1340.06
1170.916667,1254.33
1121.166667,1232.71
1072.25,939.99
1125.916667,1205.32
1040.25,1078.54
1065.166667,1113.15
1051.083334,1043.20
1129.583334,1122.76
1037.916667,1124.63
1512,1374.10
