trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
14,14,1,55,54,52,59,51,60,56,60,55,60,51
38,28,1,56,52,46,58,47,56,53,52,52,55,54
62,42,1,68,68,62,72,65,71,71,72,69,71,69
86,56,1,70,65,65,76,65,68,72,73,70,69,69
110,70,1,68,56,54,70,46,65,54,66,47,64,53
134,84,1,46,33,40,48,40,43,45,46,41,44,35
158,98,1,31,24,27,33,27,31,30,33,29,31,26
182,112,1,36,30,33,38,32,35,36,37,34,36,31
206,126,1,34,30,31,33,31,32,32,33,31,33,28
230,140,1,22,18,14,24,15,23,20,24,19,23,16
254,154,1,28,25,24,28,25,28,28,29,27,28,27
278,168,1,51,49,46,54,46,53,54,54,52,54,51
302,182,1,53,49,49,58,50,56,55,57,56,56,49
326,196,1,37,37,27,42,26,41,36,41,35,41,36
350,210,1,31,36,26,40,24,45,37,40,38,44,35
374,224,1,30,28,26,35,26,36,31,35,30,36,24
398,238,1,35,34,33,42,33,42,37,42,37,42,30
422,252,1,46,42,39,45,38,46,40,42,40,45,44
446,266,1,33,27,30,37,29,36,34,38,32,37,26
470,280,1,31,25,29,34,29,32,31,33,30,32,25
494,294,1,31,24,28,33,29,32,30,34,29,32,23
518,308,1,48,43,42,52,43,51,49,53,47,52,42
542,322,1,29,24,21,35,20,33,30,35,29,33,23
566,336,1,32,39,23,51,20,51,29,46,28,48,35
590,350,1,22,15,18,25,19,19,20,23,19,20,16
614,364,1,36,26,28,29,27,23,22,24,21,23,23
638,378,1,41,30,36,32,35,30,28,31,27,30,26
662,392,1,34,26,28,32,28,32,30,30,31,32,26
686,406,1,46,37,35,47,35,44,45,65,43,50,38
710,420,1,34,29,26,47,26,42,31,44,27,43,28
734,434,1,28,21,22,33,22,30,30,30,27,29,21
758,14,2,31,26,29,35,29,34,35,25,31,31,24
782,28,2,43,37,36,44,38,40,41,32,37,37,34
806,42,2,49,38,45,50,45,41,37,41,36,40,36
830,56,2,43,39,40,48,42,47,46,38,44,45,36
854,70,2,44,35,36,45,35,40,37,43,34,40,31
878,84,2,61,36,52,69,41,43,34,47,33,37,37
902,98,2,50,37,45,53,46,46,49,53,46,47,36
926,112,2,37,33,32,41,33,40,38,43,36,41,32
950,126,2,47,42,45,49,47,46,47,52,45,47,43
974,140,2,49,45,48,52,50,51,51,54,50,51,46
998,154,2,44,40,40,51,42,47,47,52,43,48,40
1022,168,2,40,36,38,36,40,35,41,40,42,37,41
1046,182,2,49,43,45,54,44,51,53,56,50,52,43
1070,196,2,53,44,48,53,48,51,53,54,50,52,43
1094,210,2,40,38,38,44,36,42,42,44,39,43,38
1118,224,2,37,30,30,34,30,32,33,35,32,32,29
1142,238,2,37,33,36,35,37,31,35,35,34,32,34
1166,252,2,40,42,37,44,40,45,45,46,44,46,40
1190,266,2,55,54,52,59,53,58,57,61,57,58,57
1214,280,2,64,60,49,68,51,66,65,71,61,67,58
1238,294,2,62,45,56,64,55,58,57,63,53,57,44
1262,308,2,47,42,45,52,47,50,47,53,45,50,42
1286,322,2,47,44,44,50,46,48,47,49,46,48,44
1310,336,2,52,44,45,56,46,52,46,54,42,51,41
1334,350,2,42,43,40,46,41,47,45,47,43,47,42
1358,364,2,38,35,38,39,40,36,38,38,37,36,37
1382,378,2,45,48,42,47,42,49,50,51,48,50,45
1406,392,2,45,53,50,52,52,55,54,55,54,55,53
1430,406,2,65,63,62,66,62,67,67,70,64,68,61
1454,14,3,66,63,59,69,62,67,70,71,67,68,64
1478,28,3,68,61,62,70,65,65,71,72,70,66,68
1502,42,3,63,63,62,68,62,68,67,70,64,69,63
1526,56,3,75,71,60,82,58,79,71,84,61,81,67
1550,70,3,77,72,65,80,66,76,74,82,67,77,72
1574,84,3,64,63,63,64,64,65,66,67,66,67,65
1598,98,3,60,56,54,61,56,61,60,64,59,62,57
1622,112,3,48,41,47,52,47,48,49,53,46,48,43
