trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
3,3,1,45,35,40,41,40,42,41,42,36,43,31
27,6,1,46,44,35,45,40,47,43,46,42,48,42
51,9,1,46,49,42,47,43,48,44,42,45,46,52
75,12,1,62,59,58,61,58,60,62,60,62,61,63
99,15,1,65,62,45,65,44,63,56,62,48,63,62
123,18,1,45,32,41,49,40,42,39,46,37,42,35
147,21,1,28,17,23,28,23,24,23,26,22,23,17
171,24,1,24,21,20,25,23,25,20,26,22,26,19
195,27,1,32,27,31,32,31,30,30,30,31,30,27
219,30,1,21,17,14,26,12,25,18,23,15,24,13
243,33,1,16,3,11,12,11,11,11,10,7,8,1
267,36,1,30,32,30,30,30,29,32,30,32,30,36
291,39,1,28,45,38,29,40,42,32,27,30,37,36
315,42,1,34,27,28,35,27,32,30,31,29,31,28
339,45,1,40,39,35,38,36,40,34,37,32,39,41
363,48,1,25,21,16,27,13,30,22,26,22,29,18
387,51,1,27,18,22,23,22,26,22,22,20,23,15
411,54,1,35,35,31,36,31,37,34,35,32,38,34
435,57,1,32,26,27,34,26,35,28,32,27,33,24
459,60,1,26,17,21,25,22,23,21,23,22,21,17
483,63,1,26,16,21,23,21,21,19,21,18,20,16
507,66,1,27,26,20,28,20,26,24,24,22,23,27
531,69,1,29,21,23,34,20,33,25,32,22,31,19
555,72,1,30,25,18,33,17,31,27,33,23,31,29
579,75,1,23,15,15,24,15,24,19,21,18,23,13
603,78,1,26,19,17,26,18,18,17,19,17,17,18
627,81,1,36,28,31,31,31,26,23,26,23,26,24
651,84,1,31,23,28,33,27,27,25,30,26,27,24
675,87,1,31,28,22,30,23,31,21,60,24,38,30
699,90,1,30,27,27,38,27,34,31,53,29,37,33
723,93,1,23,13,17,24,17,22,16,22,17,22,13
747,3,2,25,9,17,22,17,19,19,9,14,16,6
771,6,2,21,17,18,20,18,24,20,8,16,19,11
795,9,2,37,34,25,34,28,34,29,23,29,31,34
819,12,2,39,33,34,38,35,36,30,44,30,38,35
843,15,2,29,26,25,26,31,32,23,26,22,29,20
867,18,2,41,34,34,40,34,34,31,37,31,33,35
891,21,2,54,37,42,55,38,43,36,47,34,40,36
915,24,2,35,27,31,36,31,32,31,35,31,32,27
939,27,2,26,21,23,28,23,28,28,27,28,27,20
963,30,2,44,35,42,43,42,38,39,43,37,39,38
987,33,2,41,35,36,42,41,41,34,43,38,41,36
1011,36,2,33,30,29,38,30,36,33,38,33,36,29
1035,39,2,29,32,32,32,33,32,29,29,29,30,36
1059,42,2,36,39,33,42,32,43,40,42,40,41,37
1083,45,2,37,27,29,41,29,36,32,34,32,32,27
1107,48,2,29,20,24,29,24,28,26,29,23,28,19
1131,51,2,27,23,20,27,20,25,21,27,20,23,24
1155,54,2,35,23,32,34,32,29,29,33,29,29,23
1179,57,2,35,38,28,27,32,39,32,31,32,38,34
1203,60,2,38,32,30,35,30,37,35,35,34,35,30
1227,63,2,55,52,52,56,54,55,56,59,54,56,52
1251,66,2,41,31,40,37,40,35,32,31,32,33,36
1275,69,2,33,27,32,28,33,34,31,28,29,31,24
1299,72,2,38,35,35,42,36,41,38,41,36,39,35
1323,75,2,37,31,32,38,32,35,34,37,32,36,33
1347,78,2,34,28,27,31,29,32,29,32,31,32,27
1371,81,2,37,33,33,38,35,37,36,38,35,37,33
1395,84,2,31,22,30,30,32,31,30,32,32,29,23
1419,87,2,29,26,31,29,37,34,29,27,28,30,24
1443,3,3,48,38,34,38,37,44,40,36,37,41,33
1467,6,3,57,53,55,61,54,56,56,62,54,54,54
1491,9,3,51,42,49,58,50,54,48,57,45,52,38
1515,12,3,53,54,48,51,51,55,55,54,56,56,53
1539,15,3,47,52,46,54,46,60,51,56,50,59,48
1563,18,3,68,65,69,70,68,70,71,72,70,71,62
1587,21,3,49,45,48,50,47,49,46,45,42,47,40
1611,24,3,43,40,41,42,42,44,42,42,43,44,40
1635,27,3,39,33,33,33,38,37,29,31,28,36,33
