trend,day_multiply_hour,month,tempoerature_1 (F),tempoerature_2 (F),tempoerature_3 (F),tempoerature_4 (F),tempoerature_5 (F),tempoerature_6 (F),tempoerature_7 (F),tempoerature_8 (F),tempoerature_9 (F),tempoerature_10 (F),tempoerature_11 (F)
9,9,1,36,28,30,30,36,38,31,34,31,35,28
33,18,1,47,46,43,49,43,46,43,47,43,46,47
57,27,1,51,50,46,50,45,44,45,48,46,46,54
81,36,1,60,59,55,61,57,59,62,60,61,60,62
105,45,1,65,58,53,65,44,64,54,64,47,64,49
129,54,1,40,31,34,40,35,36,35,32,33,34,32
153,63,1,26,15,20,22,20,20,20,21,19,20,13
177,72,1,25,19,19,22,25,24,21,20,21,24,18
201,81,1,31,26,30,31,28,29,29,30,29,29,27
225,90,1,15,10,8,19,8,17,12,18,11,16,8
249,99,1,16,4,8,12,9,8,10,9,7,6,1
273,108,1,36,32,31,33,29,32,34,33,32,33,36
297,117,1,36,46,34,29,33,45,37,34,33,42,35
321,126,1,29,22,20,25,20,25,25,21,23,23,23
345,135,1,38,34,24,40,20,43,32,37,31,42,33
369,144,1,22,15,15,21,15,24,18,19,16,21,13
393,153,1,28,20,20,21,20,25,19,19,19,22,16
417,162,1,38,38,35,37,36,38,38,37,35,38,37
441,171,1,28,24,24,27,25,29,25,24,26,26,19
465,180,1,25,14,22,23,23,19,21,20,21,18,16
489,189,1,25,13,17,19,19,19,15,16,14,18,13
513,198,1,34,30,27,30,29,30,26,29,28,29,33
537,207,1,23,15,17,24,17,24,18,23,18,23,15
561,216,1,28,29,18,29,17,33,25,26,23,29,25
585,225,1,18,13,11,22,11,21,17,21,16,21,11
609,234,1,32,20,20,26,20,19,18,20,18,19,19
633,243,1,38,28,34,29,33,27,23,27,22,26,23
657,252,1,29,20,25,24,26,23,21,23,21,23,20
681,261,1,33,29,18,35,24,34,24,55,25,40,28
705,270,1,34,26,24,42,21,35,27,44,26,34,24
729,279,1,22,8,15,21,15,17,14,18,15,17,7
753,9,2,26,9,17,23,17,20,17,8,15,16,6
777,18,2,25,13,15,22,15,23,20,11,17,18,7
801,27,2,47,35,40,47,41,37,34,30,32,33,34
825,36,2,38,28,31,31,33,32,29,23,29,28,30
849,45,2,31,26,27,29,30,31,23,27,24,29,19
873,54,2,53,35,42,52,43,37,33,40,32,35,35
897,63,2,41,37,38,46,38,42,34,44,33,41,39
921,72,2,33,25,28,32,28,31,29,33,29,30,24
945,81,2,33,20,29,29,31,29,29,34,28,31,21
969,90,2,40,36,36,40,38,38,37,39,35,37,36
993,99,2,36,33,31,39,36,37,32,37,30,35,30
1017,108,2,38,32,30,39,31,36,35,39,32,36,31
1041,117,2,35,35,33,33,33,38,30,35,29,36,33
1065,126,2,42,36,28,43,33,43,42,44,38,44,35
1089,135,2,38,30,28,42,32,39,34,39,33,37,27
1113,144,2,26,16,20,26,22,22,20,26,19,21,15
1137,153,2,33,24,27,32,27,27,27,30,24,27,23
1161,162,2,35,18,29,33,29,26,29,31,28,25,18
1185,171,2,40,38,34,37,37,39,43,41,39,40,35
1209,180,2,45,29,34,40,37,37,33,37,32,35,28
1233,189,2,55,46,50,57,52,55,56,59,53,56,44
1257,198,2,42,31,37,37,38,36,35,36,31,34,29
1281,207,2,37,24,30,36,33,33,31,33,28,31,23
1305,216,2,41,37,32,43,35,42,38,44,35,42,36
1329,225,2,33,28,26,34,29,33,33,35,32,34,28
1353,234,2,34,27,28,34,31,32,29,35,29,32,26
1377,243,2,38,31,32,38,33,37,35,38,34,37,28
1401,252,2,38,24,30,35,33,34,36,37,36,33,21
1425,261,2,42,28,28,35,38,37,33,37,31,35,23
1449,9,3,48,34,37,44,38,44,38,44,35,44,31
1473,18,3,60,57,56,62,55,60,61,63,58,61,56
1497,27,3,51,40,41,54,49,52,48,53,45,50,35
1521,36,3,57,57,50,57,48,58,57,58,57,58,60
1545,45,3,54,49,46,65,45,59,49,60,48,57,46
1569,54,3,69,60,63,70,61,67,66,73,63,68,61
1593,63,3,52,41,44,49,45,45,45,46,42,43,39
1617,72,3,45,38,41,43,42,43,44,44,42,44,38
