load (MW),Change1
1612.916667,1670.66
1590.75,1815.40
1516.416667,1452.09
1065,961.33
1271.583334,1187.23
2065.75,2257.93
2933.416667,2648.67
2690.75,2771.96
2297.5,2105.04
2520.166667,2454.18
3298.666667,3344.16
2347.916667,2635.99
2066.166667,2188.46
2395.416667,2690.92
2038.166667,1882.24
2663.5,2374.99
2225.25,2211.59
1656.25,1491.39
2321.833334,2230.04
2921,3325.90
2789.166667,2480.59
2531.333334,2876.79
2788.916667,2518.74
2079.166667,2233.54
2399.75,2285.96
2867.416667,2529.75
2352,2249.49
2751.5,3025.17
2353.25,2123.46
2145.75,1902.84
3203.166667,2846.96
2759.25,2403.54
2884.083334,2719.47
2174.333334,2350.86
2259.75,2553.68
2457.666667,2337.34
2227.916667,2090.72
1945,1837.62
2316.666667,2369.57
2489.583334,2443.77
2088.916667,2371.09
2064.583334,1966.28
2086.75,1879.30
2268.25,2269.55
1751.333334,1673.29
1960.666667,1878.92
2532.916667,2676.12
2523.166667,2444.00
2740.5,3126.94
2117.75,2180.06
2137.333334,2107.22
1411.916667,1389.36
1956,1715.11
2342.083334,2074.64
1934.916667,1911.24
2264,2196.68
2274.25,2295.07
2107.5,2082.87
2252.416667,2099.67
2045.583334,2251.27
1883.25,2119.22
1351.416667,1395.11
1569.083334,1479.16
1342.666667,1254.26
1236.833334,1415.69
1028.583334,1168.45
1415.333334,1393.43
1838.666667,2062.77
