load (MW),Change1
1258.833334,1211.07
1511.416667,1555.92
1248.166667,1090.76
1224.083334,1110.11
1165.083334,1300.97
1463,1548.11
1956.75,2197.06
1937,1945.05
2081.666667,2375.08
2075.75,2055.58
1987.916667,2259.05
1357.5,1315.21
1244.083334,1228.69
1376.25,1566.38
1494,1511.33
1764.5,1877.61
1672.666667,1652.84
1674.083334,1622.81
1835,1757.38
1819.25,1567.97
2184.666667,2417.58
1410.333334,1420.29
1809,1857.97
1630.25,1778.24
2770.916667,3041.59
2735.083334,2939.71
2219.5,2135.21
2053.583334,2199.92
1609.416667,1391.80
1588.083334,1528.13
2143.833334,2152.85
1773.25,1632.55
1623,1847.28
1792.083334,1587.81
1331.416667,1505.24
1719.833334,1563.65
2130.833334,2288.82
1655.166667,1639.76
1690,1781.18
1660.333334,1695.87
1356.166667,1494.56
1404.416667,1250.61
1763.75,1645.55
1240.916667,1122.15
1641.833334,1466.67
1756.333334,1914.55
1695.833334,1813.38
1939.833334,1652.77
1376.833334,1510.63
1191.166667,1353.21
1123.25,1237.14
1379.75,1373.23
1394.333334,1586.22
1364.666667,1347.10
1336.666667,1163.90
1250.416667,1359.38
1847.416667,1706.44
1360.833334,1490.95
1320.75,1255.29
1236.583334,1098.84
1098.083334,997.68
1113.166667,1107.78
1002,857.86
1012,1040.85
1017.166667,979.55
1245.25,1097.76
1137.083334,1116.85
1415.666667,1270.69
