load (MW),Change1
1512.5,1616.64
1574.583334,1351.60
1416.333334,1316.58
1452.5,1385.01
1565.5,1708.69
2338.333334,2079.80
2473.75,2619.83
2282.833334,2614.45
2398.666667,2267.31
2460.5,2214.65
2258.25,2492.10
1713.416667,1893.81
1732.666667,1730.70
1907.833334,1815.13
2080.333334,2056.71
2070.25,2226.50
1877.25,1863.89
1828.083334,1854.72
2396.083334,2702.24
2367.583334,2325.51
2338.416667,2126.03
1990.916667,1873.24
2119.333334,1914.10
1870.75,1747.20
2956.333334,3065.52
2661.75,2716.03
2397.333334,2134.15
2355.75,2668.90
1962.916667,2105.47
2306.5,2373.99
2211.333334,2067.84
1924.666667,1857.35
2076.75,1767.11
1836.583334,2056.25
1801.583334,1999.26
2255.416667,1937.86
2178.416667,1890.78
2110.25,2310.38
1920.75,1917.82
2002.5,2038.94
1786.25,1644.36
1871.416667,1841.85
1958.75,1725.36
1567.333334,1418.21
1719.333334,1781.37
2070.083334,2202.90
2173.5,1884.78
2120.833334,1823.80
1850.25,1832.04
1436.083334,1270.88
1326.083334,1294.57
1600.25,1663.83
1570.916667,1374.61
1737.583334,1905.84
1669.416667,1478.86
1720.75,1795.31
2118.75,2187.21
1564.583334,1705.02
1374.833334,1540.70
1396.916667,1306.44
1367.583334,1453.72
1391.833334,1422.97
1290.166667,1231.87
1292,1158.11
1236.916667,1209.38
1228.75,1204.61
1205.333334,1194.71
1835.333334,2088.38
