load (MW),Change1
1364.5,1192.13
1547,1500.65
1329.166667,1236.94
1217.083334,1389.76
1159,1027.28
1453.916667,1289.98
2103.583334,2383.76
1924.166667,1916.53
2137.333334,2318.48
2251.416667,2025.07
2213.416667,2049.43
1450,1271.70
1329.083334,1376.99
1495.5,1289.17
1594.583334,1573.72
1834.666667,2059.33
1807.333334,1830.26
1768.916667,1607.61
1960.416667,1755.27
1984.25,1804.63
2263.666667,2411.28
1543.5,1718.48
1960.5,2034.48
1683.333334,1879.82
2732.666667,2870.77
2795.5,2666.81
2264.75,1978.84
2180.916667,1880.53
1705.166667,1599.92
1641.083334,1558.56
2392.083334,2502.99
1957.25,1683.66
1802.25,1618.88
1918.083334,1745.97
1462.916667,1352.64
1821.583334,1822.27
2193.083334,2348.93
1743.25,1816.75
1806.416667,1769.62
1800.833334,1540.13
1493,1560.25
1511.916667,1312.27
1816.25,1927.95
1337.333334,1343.32
1686.166667,1663.33
1805.5,1875.43
1822.666667,1687.64
2096.333334,2170.94
1490.416667,1294.67
1288.833334,1166.79
1194.833334,1098.88
1409.416667,1612.04
1509.833334,1382.41
1468.666667,1360.12
1373.583334,1507.93
1366.666667,1516.59
1921.416667,1862.16
1515,1551.21
1446.75,1243.28
1254.166667,1083.72
1193.083334,1245.26
1101.666667,1261.01
1065.75,1023.60
1035.416667,1062.05
1071.166667,1222.86
1294.583334,1364.20
1193.583334,1072.04
1435.583334,1362.17
