load (MW),Change1
1519.583334,1346.58
1554.166667,1373.72
1366.166667,1246.46
1434.833334,1297.55
1590.75,1734.64
2397.333334,2096.17
2486.5,2564.54
2290.5,2467.64
2342.75,2451.10
2506.083334,2717.78
2253.75,2462.95
1776.083334,2007.36
1780.25,1677.92
1919.25,2030.19
2134.416667,2159.47
2086.833334,2025.69
1852.083334,1599.84
1835.166667,1683.72
2507.166667,2382.03
2427.5,2675.75
2372,2496.17
2036.166667,2314.21
2125.833334,2069.11
1909.083334,1786.53
2942.166667,2643.32
2565.5,2523.04
2351.666667,2092.32
2352,2248.43
2012.916667,1849.37
2343.416667,2344.51
2292.083334,2214.09
1976.166667,1804.77
2115.083334,1824.30
1915.416667,1906.81
1916.75,1960.52
2246.5,2556.49
2105.5,2125.67
2125.166667,2072.25
2056.666667,2197.54
2024.333334,2103.58
1844.25,1657.08
1909.666667,2037.90
2065.166667,2022.29
1659.583334,1885.04
1722.833334,1899.53
2062.75,1930.15
2303.583334,2455.44
2201.833334,2254.00
1937.666667,1818.78
1537.25,1652.02
1366.166667,1310.84
1662.916667,1494.43
1719.583334,1512.85
1794.583334,1663.48
1728.666667,1724.03
1838.416667,2065.09
2128.75,1906.30
1664.333334,1829.81
1470.416667,1540.91
1504.25,1292.89
1457,1398.46
1464.333334,1552.65
1359.583334,1215.90
1381.666667,1500.72
1272.333334,1288.79
1268.666667,1078.77
1077.833334,1185.92
1919.666667,2134.19
