load (MW),Change1
1204.583334,1248.08
1420.5,1549.90
1180.166667,1009.75
1220.166667,1327.58
1155.416667,1218.85
1542.166667,1597.47
1841.25,1593.90
1923.416667,1850.82
2056.833334,2175.96
1932.75,1711.12
1851.25,1798.41
1269.666667,1301.25
1219.25,1334.45
1315.5,1450.15
1430.083334,1329.80
1596,1724.41
1610.25,1461.88
1622.333334,1681.01
1726.416667,1701.26
1711.166667,1654.95
2064.5,2117.66
1416.083334,1271.18
1691.333334,1457.92
1526.166667,1691.55
2777.75,2608.20
2608.833334,2233.76
2191.083334,2046.64
1938.166667,1717.83
1513.75,1644.23
1534.583334,1389.36
1936.5,1995.74
1592.5,1519.29
1512.583334,1681.33
1570.75,1426.25
1243.416667,1128.44
1714.833334,1648.43
2096.583334,1901.79
1635.416667,1472.37
1557.083334,1450.15
1601.583334,1674.57
1286.666667,1209.21
1347.416667,1168.31
1663.5,1609.09
1175.166667,1005.56
1555.916667,1645.77
1662.25,1535.75
1619.583334,1798.38
1786.5,1815.55
1298.5,1224.51
1129.083334,1124.67
1080.75,965.09
1306.666667,1136.84
1323.833334,1467.09
1283.5,1316.22
1285.25,1325.52
1179.166667,1027.87
1822.416667,2065.91
1246.166667,1319.77
1219.916667,1229.30
1170.833334,1018.76
1065,1193.68
1093.833334,962.45
983.9166665,975.63
1000.583334,1114.01
1002.25,933.00
1182.666667,1054.74
1107.166667,1223.18
1376.5,1556.56
